1,Age,13.186,13.186
2,Group,1.000,1.000
3,   MAF1D1,-0.288,30.721
4,   MAF2D1,0.274,33.680
5,   MAF3D1,-0.195,27.488
6,   MAF4D1,-0.156,27.871
7,   MAC3D1,0.817,32.339
8,   MAC4D1,0.912,33.483
9,   MAP3D1,0.103,33.294
10,   MAP4D1,0.162,34.237
11,   MAO1D1,-0.078,29.115
12,   MAO2D1,-0.227,28.122
13,   MAF7D1,0.145,23.511
14,   MAF8D1,-0.261,17.376
15,   MAT3D1,-0.180,10.859
16,   MAT4D1,0.271,13.018
17,   MAT5D1,0.069,20.657
18,   MAT6D1,-0.056,19.305
19,   MAFzD1,0.304,38.005
20,   MACzD1,0.600,44.295
21,   MAPzD1,0.123,40.851
22,    MAF1D,0.134,25.476
23,    MAF2D,0.298,26.131
24,    MAF3D,-0.599,22.271
25,    MAF4D,-0.758,20.379
26,    MAC3D,0.165,26.464
27,    MAC4D,-0.168,23.564
28,    MAP3D,-0.368,26.820
29,    MAP4D,-0.430,26.507
30,    MAO1D,-0.333,26.690
31,    MAO2D,-0.514,25.343
32,    MAF7D,0.105,15.439
33,    MAF8D,-0.039,13.619
34,    MAT3D,-0.757,7.952
35,    MAT4D,-0.486,8.488
36,    MAT5D,-0.450,16.641
37,    MAT6D,-0.726,14.638
38,    MAFzD,-0.510,25.348
39,    MACzD,0.070,37.196
40,    MAPzD,-0.209,32.751
41,    MAF1T,-0.702,12.795
42,    MAF2T,-0.977,11.276
43,    MAF3T,-1.788,12.788
44,    MAF4T,-1.650,13.141
45,    MAC3T,-0.961,19.268
46,    MAC4T,-1.054,17.623
47,    MAP3T,-0.875,21.649
48,    MAP4T,-0.637,23.428
49,    MAO1T,-0.635,20.999
50,    MAO2T,-0.771,19.575
51,    MAF7T,-0.964,7.727
52,    MAF8T,-0.871,7.413
53,    MAT3T,-0.650,8.336
54,    MAT4T,-0.717,7.109
55,    MAT5T,-0.642,15.281
56,    MAT6T,-0.527,15.276
57,    MAFzT,-2.037,14.192
58,    MACzT,-1.408,24.631
59,    MAPzT,-0.639,27.002
60,    MAF1A,-0.687,12.636
61,    MAF2A,-0.936,11.168
62,    MAF3A,-1.020,16.284
63,    MAF4A,-0.884,16.967
64,    MAC3A,-0.901,23.193
65,    MAC4A,-0.952,21.337
66,    MAP3A,-1.193,30.970
67,    MAP4A,-1.303,28.482
68,    MAO1A,-0.704,76.643
69,    MAO2A,-0.610,92.591
70,    MAF7A,-0.700,8.980
71,    MAF8A,-0.600,9.026
72,    MAT3A,-0.780,8.641
73,    MAT4A,-0.485,9.715
74,    MAT5A,-0.978,24.429
75,    MAT6A,-1.180,21.173
76,    MAFzA,-1.025,18.210
77,    MACzA,-1.303,22.119
78,    MAPzA,-0.978,37.914
79,    MAF1B,-0.552,7.519
80,    MAF2B,-0.771,6.644
81,    MAF3B,-0.885,8.537
82,    MAF4B,-1.007,8.134
83,    MAC3B,-1.007,8.625
84,    MAC4B,-0.893,8.943
85,    MAP3B,-1.440,8.238
86,    MAP4B,-1.026,9.736
87,    MAO1B,-0.812,14.541
88,    MAO2B,-0.764,15.491
89,    MAF7B,-0.114,6.837
90,    MAF8B,-0.268,5.893
91,    MAT3B,-0.484,6.778
92,    MAT4B,-1.194,3.967
93,    MAT5B,-1.107,7.694
94,    MAT6B,-0.947,8.087
95,    MAFzB,-1.031,8.287
96,    MACzB,-1.293,8.335
97,    MAPzB,-1.083,9.681
98,    MAF1S,-0.573,58.426
99,    MAF2S,-0.637,55.218
100,    MAF3S,-1.382,59.880
101,    MAF4S,-1.370,58.621
102,    MAC3S,-0.911,77.550
103,    MAC4S,-1.020,71.467
104,    MAP3S,-1.215,87.677
105,    MAP4S,-1.171,88.153
106,    MAO1S,-0.806,138.873
107,    MAO2S,-0.778,153.000
108,    MAF7S,-0.593,38.983
109,    MAF8S,-0.609,35.952
110,    MAT3S,-0.896,31.707
111,    MAT4S,-0.936,29.279
112,    MAT5S,-1.012,64.044
113,    MAT6S,-1.130,59.175
114,    MAFzS,-1.507,66.037
115,    MACzS,-1.271,92.280
116,    MAPzS,-0.949,107.347
117,   MAF1B2,-0.214,1.891
118,   MAF2B2,-0.295,1.583
119,   MAF3B2,0.520,1.921
120,   MAF4B2,0.070,1.685
121,   MAC3B2,0.027,1.605
122,   MAC4B2,0.034,1.599
123,   MAP3B2,-0.352,1.308
124,   MAP4B2,-0.174,1.460
125,   MAO1B2,-0.405,1.791
126,   MAO2B2,-0.098,2.574
127,   MAF7B2,0.852,1.974
128,   MAF8B2,0.495,1.529
129,   MAT3B2,0.156,1.857
130,   MAT4B2,-0.673,0.857
131,   MAT5B2,-0.125,1.503
