   3.7 0.888      7.9 0.112 
   0.5 0.851      3.9 0.149 
   2.9 0.844      6.3 0.156 
   3.9 0.995     14.5 0.005 
   2.5 0.956      8.7 0.044 
   1.2 0.967      7.9 0.033 
   4.7 0.808      7.6 0.192 
   3.2 0.459      2.8 0.541 
   2.2 0.953      8.2 0.047 
  10.0 0.999     24.0 0.001 
   5.4 0.949     11.2 0.051 
   0.9 0.975      8.3 0.025 
   1.3 0.971      8.3 0.029 
   3.6 0.998     15.9 0.002 
   1.4 0.982      9.3 0.018 
   1.9 0.750      4.1 0.250 
   1.6 0.928      6.7 0.072 
   0.8 0.845      4.2 0.155 
   2.8 0.990     11.9 0.010 
   0.4 0.940      5.9 0.060 
   1.7 0.975      9.0 0.025 
   3.3 0.967     10.1 0.033 
   7.1 0.994     17.5 0.006 
   1.2 0.754      3.4 0.246 
   1.1 0.762      3.4 0.238 
   2.0 0.927      7.0 0.073 
   2.5 0.946      8.2 0.054 
   6.6 0.978     14.3 0.022 
   2.1 0.686      3.7 0.314 
   9.1 0.996     20.1 0.004 
   3.7 0.848      7.1 0.152 
   1.4 0.930      6.6 0.070 
   3.7 0.554      4.2 0.446 
   0.4 0.967      7.1 0.033 
   4.6 0.951     10.6 0.049 
   2.0 0.977      9.5 0.023 
   2.9 0.830      6.1 0.170 
   0.2 0.971      7.3 0.029 
   1.1 0.928      6.2 0.072 
   1.3 0.834      4.5 0.166 
   3.0 0.728      5.0 0.272 
   0.7 0.907      5.3 0.093 
   2.0 0.982     10.0 0.018 
   1.5 0.572      2.1 0.428 
   6.5 0.995     17.3 0.005 
   1.2 0.639      2.3 0.361 
   0.5 0.983      8.7 0.017 
   0.6 0.984      8.8 0.016 
   3.2 0.949      9.0 0.051 
   2.4 0.990     11.7 0.010 
   5.1 0.996     16.3 0.004 
   2.7 0.990     11.8 0.010 
   0.9 0.938      6.3 0.062 
   2.8 0.993     12.8 0.007 
   3.5 0.997     15.1 0.003 
   6.0 0.943     11.6 0.057 
   4.5 0.997     16.4 0.003 
   1.2 0.662      2.6 0.338 
   0.4 0.889      4.6 0.111 
   0.9 0.984      9.1 0.016 
   2.8 0.481      2.6 0.519 
   1.6 0.972      8.7 0.028 
   4.5 0.997     16.1 0.003 
  10.9 0.664     12.3 0.336 
   0.9 0.755      3.1 0.245 
   3.5 0.756      5.7 0.244 
  12.3 0.741     14.4 0.259 
   2.6 0.932      7.9 0.068 
   6.4 0.993     16.3 0.007 
   5.8 0.849      9.2 0.151 
   2.1 0.989     11.0 0.011 
   4.6 0.937     10.0 0.063 
  13.1 0.996     24.3 0.004 
   2.3 0.958      8.6 0.042 
   6.8 0.058      1.3 0.942 
   4.3 0.979     11.9 0.021 
   1.2 0.841      4.5 0.159 
   4.6 0.981     12.5 0.019 
   3.5 0.981     11.4 0.019 
   0.9 0.930      6.1 0.070 
   2.5 0.982     10.5 0.018 
   3.7 0.970     10.6 0.030 
   0.9 0.835      4.1 0.165 
   0.6 0.783      3.1 0.217 
   2.9 0.989     11.8 0.011 
   1.1 0.861      4.8 0.139 
